# time[s],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],qw,qx,qy,qz,wx[rad/s],wy[rad/s],wz[rad/s],rpm1,rpm2,rpm3,rpm4
3.947800000000279558e-02,-2.957398770377039909e-03,2.666789572685956955e-03,6.996408104896545410e-01,8.941737469285726547e-04,-1.203764323145151138e-02,-1.231521368026733398e-02,9.999961853027343750e-01,1.301438664086163044e-03,-1.990725984796881676e-03,-1.314361143158748746e-04,-1.336850275046613523e-01,-8.104580931361736462e-02,-2.285388360500135649e-02,1.893300000000000000e+04,1.990700000000000000e+04,2.070300000000000000e+04,1.915000000000000000e+04
4.145299999997951318e-02,-2.957398770377039909e-03,2.666789572685956955e-03,6.996408104896545410e-01,8.941737469285726547e-04,-1.203764323145151138e-02,-1.231521368026733398e-02,9.999961853027343750e-01,1.301438664086163044e-03,-1.990725984796881676e-03,-1.314361143158748746e-04,-1.566076373105435571e-01,-9.665522896333067493e-02,-9.661161970048062417e-03,1.889100000000000000e+04,1.990700000000000000e+04,2.071100000000000000e+04,1.915000000000000000e+04
4.342000000004191118e-02,-2.445092424750328064e-03,2.795554464682936668e-03,6.997868418693542480e-01,2.528219483792781830e-03,-1.151921786367893219e-02,-1.116202399134635925e-02,9.999964237213134766e-01,9.813738288357853889e-04,-2.037104452028870583e-03,-1.135366328526288271e-04,-1.428088675964614973e-01,-7.250708235806442581e-02,-1.087289090335840855e-02,1.890900000000000000e+04,1.990700000000000000e+04,2.071800000000000000e+04,1.915000000000000000e+04
4.543799999996554068e-02,-2.445092424750328064e-03,2.795554464682936668e-03,6.997868418693542480e-01,2.528219483792781830e-03,-1.151921786367893219e-02,-1.116202399134635925e-02,9.999964237213134766e-01,9.813738288357853889e-04,-2.037104452028870583e-03,-1.135366328526288271e-04,-1.153381778599692070e-01,-2.795967524095525555e-02,-2.872549009894815805e-02,1.887300000000000000e+04,1.990700000000000000e+04,2.071100000000000000e+04,1.915700000000000000e+04
4.740300000004935704e-02,-2.435307251289486885e-03,2.749319886788725853e-03,6.997441649436950684e-01,2.364141866564750671e-03,-1.159759052097797394e-02,-1.019036490470170975e-02,9.999964237213134766e-01,7.108087884262204170e-04,-2.156987320631742477e-03,-1.472229923820123076e-04,-9.020285569525944569e-02,-1.068186696168258072e-03,-3.076965348909812062e-02,1.889700000000000000e+04,1.990700000000000000e+04,2.071800000000000000e+04,1.916900000000000000e+04
4.934499999997205705e-02,-2.435307251289486885e-03,2.749319886788725853e-03,6.997441649436950684e-01,2.364141866564750671e-03,-1.159759052097797394e-02,-1.019036490470170975e-02,9.999964237213134766e-01,7.108087884262204170e-04,-2.156987320631742477e-03,-1.472229923820123076e-04,-1.012660762718825408e-01,-1.377662386514237093e-02,-1.451887702956917818e-02,1.886100000000000000e+04,1.990700000000000000e+04,2.073200000000000000e+04,1.918700000000000000e+04
5.132299999997485401e-02,-2.435307251289486885e-03,2.749319886788725853e-03,6.997441649436950684e-01,2.364141866564750671e-03,-1.159759052097797394e-02,-1.019036490470170975e-02,9.999964237213134766e-01,7.108087884262204170e-04,-2.156987320631742477e-03,-1.472229923820123076e-04,-1.168219996731988813e-01,-2.439299097798540081e-02,-1.793858704958298592e-02,1.887300000000000000e+04,1.990700000000000000e+04,2.072500000000000000e+04,1.920600000000000000e+04
5.329200000001583365e-02,-2.206489909440279007e-03,2.855981001630425453e-03,6.998584270477294922e-01,2.914946759119629860e-03,-1.115202065557241440e-02,-8.934183977544307709e-03,9.999964833259582520e-01,5.193139659240841866e-04,-2.171513391658663750e-03,-1.983892143471166492e-04,-1.083342472853857513e-01,-2.563116947016889566e-02,-3.790279523022625080e-02,1.883800000000000000e+04,1.990700000000000000e+04,2.071800000000000000e+04,1.918700000000000000e+04
5.530900000000837924e-02,-2.195175038650631905e-03,2.811290556564927101e-03,6.998236179351806641e-01,2.742471406236290932e-03,-1.119299698621034622e-02,-8.474235422909259796e-03,9.999964833259582520e-01,2.934076765086501837e-04,-2.220150548964738846e-03,-2.471457701176404953e-04,-9.615414688185384973e-02,-2.742661442045147419e-02,-4.072693608582237529e-02,1.882000000000000000e+04,1.992600000000000000e+04,2.073200000000000000e+04,1.924300000000000000e+04
5.726899999997112772e-02,-2.195175038650631905e-03,2.811290556564927101e-03,6.998236179351806641e-01,2.742471406236290932e-03,-1.119299698621034622e-02,-8.474235422909259796e-03,9.999964833259582520e-01,2.934076765086501837e-04,-2.220150548964738846e-03,-2.471457701176404953e-04,-8.858368704200489385e-02,-2.110017746302196573e-02,-1.703802872399968332e-02,1.882000000000000000e+04,1.993300000000000000e+04,2.073200000000000000e+04,1.922400000000000000e+04
